"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","90","160","3.4000000000000004","0.05","""-793968545""","43.9332793155219","43.9332793155219","43.9332793155219","0","43.9332793155219"
"1","91","160","2","0.1","""-348872573""","35.181306297961235","35.181306297961235","35.181306297961235","0","35.181306297961235"
"1","92","160","2","0.1","""-1425956404""","35.898481544573094","35.898481544573094","35.898481544573094","0","35.898481544573094"
"1","93","160","2","0.1","""-448236282""","35.88572853533504","35.88572853533504","35.88572853533504","0","35.88572853533504"
"1","94","160","2","0.1","""764540570""","35.867416215797306","35.867416215797306","35.867416215797306","0","35.867416215797306"
"1","95","160","2","0.1","""-486642370""","35.859211551224696","35.859211551224696","35.859211551224696","0","35.859211551224696"
"1","96","160","2","0.1","""808522532""","36.463255480500784","36.463255480500784","36.463255480500784","0","36.463255480500784"
"1","97","160","2","0.1","""-1404342889""","35.08563575300157","35.08563575300157","35.08563575300157","0","35.08563575300157"
"1","98","160","2","0.1","""1223655244""","35.91453949931637","35.91453949931637","35.91453949931637","0","35.91453949931637"
"1","99","160","2","0.1","""299957201""","36.02237310181564","36.02237310181564","36.02237310181564","0","36.02237310181564"
"1","100","160","2","0.1","""-298296267""","35.5995861579767","35.5995861579767","35.5995861579767","0","35.5995861579767"
"1","101","160","3.4000000000000004","0.65","""-820555184""","31.711239520294473","31.711239520294473","31.711239520294473","0","31.711239520294473"
"1","102","160","3.4000000000000004","0.65","""-1371574524""","31.004121904460618","31.004121904460618","31.004121904460618","0","31.004121904460618"
"1","103","160","3.4000000000000004","0.65","""-324595171""","30.975126575168268","30.975126575168268","30.975126575168268","0","30.975126575168268"
"1","104","160","3.4000000000000004","0.65","""1745352726""","29.77700592002844","29.77700592002844","29.77700592002844","0","29.77700592002844"
"1","105","160","3.4000000000000004","0.65","""1608885766""","32.32800497511913","32.32800497511913","32.32800497511913","0","32.32800497511913"
"1","106","160","3.4000000000000004","0.65","""-800975543""","30.207865900522968","30.207865900522968","30.207865900522968","0","30.207865900522968"
"1","107","160","3.4000000000000004","0.65","""884240368""","30.730605227003185","30.730605227003185","30.730605227003185","0","30.730605227003185"
"1","108","160","3.4000000000000004","0.65","""922458908""","31.500198312098583","31.500198312098583","31.500198312098583","0","31.500198312098583"
"1","109","160","3.4000000000000004","0.65","""-812041842""","31.364312545479045","31.364312545479045","31.364312545479045","0","31.364312545479045"
"1","110","160","3.4000000000000004","0.65","""570619848""","32.4765468927937","32.4765468927937","32.4765468927937","0","32.4765468927937"
"1","111","160","4.800000000000001","0.1","""1618793331""","47.16304154183342","47.16304154183342","47.16304154183342","0","47.16304154183342"
"1","112","160","4.800000000000001","0.1","""-1956621431""","49.20282843801931","49.20282843801931","49.20282843801931","0","49.20282843801931"
"1","113","160","4.800000000000001","0.1","""-117311298""","49.44681159249938","49.44681159249938","49.44681159249938","0","49.44681159249938"
"1","114","160","4.800000000000001","0.1","""1109243483""","52.04142677623131","52.04142677623131","52.04142677623131","0","52.04142677623131"
"1","115","160","4.800000000000001","0.1","""991553377""","47.61377984787726","47.61377984787726","47.61377984787726","0","47.61377984787726"
"1","116","160","4.800000000000001","0.1","""-1364723767""","48.989935541052354","48.989935541052354","48.989935541052354","0","48.989935541052354"
"1","117","160","4.800000000000001","0.1","""-564349897""","49.79910792346822","49.79910792346822","49.79910792346822","0","49.79910792346822"
"1","118","160","4.800000000000001","0.1","""1324557741""","48.65247703053753","48.65247703053753","48.65247703053753","0","48.65247703053753"
"1","119","160","4.800000000000001","0.1","""947844487""","49.58929872512936","49.58929872512936","49.58929872512936","0","49.58929872512936"
